"","X","Name","Date","Network","Text"
"125",125,"Tucker Carlson Tonight","April 6, 2022","","around kiv just about a week ago. its negotiators saying it was done to instill mutual trust. now putin's forces are mounting in the east and the secretary general of nato says he is still convinced putin's end goal is to control all of ukraine. >> russia's moving forces out of the north to reach and force them, to resupply them, to rearm them and then to move them into the east where we are expecting a major offensive. president putin's aim is to try to control the whole of donbas and to establish a land bridge. >> but with us now, retired colonel daniel davis, a senior fellow at defense priorities. always great to see you. is the secretary general of nato right? do you believe that russia truly does want to control all of ukraine, not just the, the eastern portion of the donbas region?"
"133",133,"Tucker Carlson Tonight","March 7, 2022","","the administration itself. now for the white house, that means exploring more options, but it also means possibly increasing oil imports from safe places like venezuela or iran or saudi arabia. as you know, the u.s. has had let's just call it for what it is a complicated relationship with all three countries in recent years in particular, some of them have been accused of election fraud, even human rights atrocities. still for all the hand-wringing in washington trace over the very prospect of shutting off the spigot to russian oil today the white house seemed to coolly downplay the story. and i will just note in this scenario that they are separate their separate paths and conversations, separate paths and conversations. it's not each country as a group. it's each country on its own. and while some democrats believe it or not, are increasingly calling on the administration to ban imports from russia, republicans are more or less doing the same."
"136",136,"Tucker Carlson Tonight","March 8, 2022","","on the west coast, 8:00 a.m. in the ukrainian capital of kyiv where us officials believe the russians will soon make a push to encircle the city and somehow force a surrender. we begin our team coverage this hour with our tony fauci and co-anchor jonathan hunt. he's on the ground in lavae that's in western ukraine near the polish border. and jonathan, the u.s. and nato are walking a very fine line when it comes to sending fighter jets into ukraine. good morning to you. good morning to you, trace. this certainly seems to be a will in terms of getting these fighter jets into the hands of ukrainian pilots. but it's finding a way to do that . that is clearly the sticking point. the polish government said that they are willing to give all this soviet era migs to the ukrainians, but they want to send them first to ramstein air force base in germany. that's a u.s. air force base and that offer seemed to catch the u.s. government by surprise"
"148",148,"Tucker Carlson Tonight","April 4, 2022","","he is a war criminal, but we have to gather information. we have to continue to provide ukraine with the weapons they need to continue the fight and we have to gather all the details. so this be an actual have a war crimes trial. hello everyone. i'm trace gallagher live in los angeles with our continuing coverage of the crisis in eastern europe. it is 10:00 p.m. here on the west coast, eight o'clock tuesday morning in the ukrainian capital of kyiv. the battle for ukraine's independence now one day forty one and it is another dark day not just in ukraine but around the world as we bear witness to yet more horrific images of loss of innocent lives. senseless carnage unveiled as russian forces pull back from towns around key though it is almost certain, say military experts, the invaders will regroup and head back in. on tuesday, president putin addressed the u.n. security council, of which russia is"
"178",178,"Tucker Carlson Tonight","March 3, 2022","","thankfully the fire was put out and did not spread. radioactive in the immediate area to not have risen according to the u.n. nuclear watchdog a iea which has spoken with ukrainian officials. still u.s. energy secretary went on alert over this and president biden was in touch with president zelenskyy. it happened russian troops moved up south. the locations that this happened that is about 100 miles north of crimea, 350 miles south of kyiv and started shelling the plant. and the administrative training building, that caught on fire. five or six nuclear reactors were shut down and pretty massive concrete casing. but in fact the last couple of days, they tried to block it and they knew what the dangers were. they stood on the street with thousands in front of the tanks, but at the end of the day, the"
"185",185,"Tucker Carlson Tonight","May 2, 2022","","the rest of you sharon stone earlier today with the 70 and never ending bond four million welcome cambodians. just remember it's in your hands. download global media now none month to find today a welcome tucker carlson tonight. here's a happy memory by breakfast really even brunch on election day 2016.01 virtually nobody6, in washington ,d.c. thought donald trump could win and they didn't think that because the entire pressth corps had been telling them for months that trump had, as they always put it, literallyad no chance, not even as an abstractr theoretical matterac. this wasn't actually a race. in fact, come november 8th you'll remember this donald"
"241",241,"Tucker Carlson Tonight","February 28, 2022","","us has to move forward and has to deal with what is being said. we heard from the nato secretary saying that this was dangerous rhetoric. we heard from president biden who said, no, we are not unsafe because of this. we heard this from his spokesperson, jen psaki, also saying in fact that nato and us can defend itself against russia in any contacts. let me keep you a view of one example of why this kind of frederick, which russia and the old soviet union used to use the banned why it is so dangerous right now. in the last day russia has voted enough body referendum that would allow the appointment of nuclear weapons on its soil. belorussia and russia are very close right now. if for example russia can take over ukraine, that it too can"
"249",249,"Tucker Carlson Tonight","September 22, 2022","","and effective. and it might have worked, but the biden administration adamantly opposed the settlement. biden's advisers didn't just want the russians to leave ukraine. that's what they told us they wanted on television. but now biden's advisers wanted a total regime change, war against russia, apparently to avenge the election of donald trump. which they believed putin was responsible for, and they were willing to fight to the last ukrainian to get it. so on april 9th of this year, the white house dispatched its hapless cutout, then british prime minister boris johnson, to kyiv. according to ukrainian news media, johnson communicated two messages to the zelenskyy government, quote, the first is that putin is a war criminal. he should be pressured, not negotiated with . and the second is that even if ukraine is ready to sign some agreements on guarantees with putin, the west is not. in other words, who cares what the ukrainians want? america and the uk demand total war with russia regime change, war with russia. and of course, the ukrainians"
"257",257,"Tucker Carlson Tonight","March 24, 2022","","and i'm jonathan hunt. on the ground in libya of ukraine bringing you continued live coverage of the crisis in eastern europe seven in the morning here in la veb heavy shelling continuing in the capital of kyiv. but according to the pentagon, a ukrainian counter offensive has been successful pushing russian troops farther from kyiv. what we're seeing is the russians take a defensive posture. they're no longer trying to advance. they're simply going back now into the defense. the children of ukraine hit especially hard according to new numbers from the un, more than half have now been displaced. first let's go to chief correspondent jonathan tunt and my co-host here who is live in the city of lviv. jonathan rich. as we enter week five of"
"269",269,"Tucker Carlson Tonight","March 10, 2022","","poland. at that event, harris was asked about the refugee crisis in ukraine. watch how she responded. >> is the united states willing to make a specific allocation for ukrainian refugees? and for president judah, i wanted to know if you think and if you ask the united states specifically to accept more refugees? >> okay. [laughter] a friend in need is a friend indeed. [laughter] >> okay. >> tucker: yeah. it's pretty funny. more than a million people fleeing in the wake of an invasion and you, kamala harris, incited, certainly failed to diffuse, made much more likely, recklessness, and then you laugh about it. that's who she is. so, jussie smollett was just sentenced for faking a"
"288",288,"Tucker Carlson Tonight","March 8, 2022","",">> tucker: so lying by omission is pretty simple, you just don't mention the truth. you heard biden do that just there, but it takes something else very different, whether it's chutzpah or delusion or senility to explain biden's behavior. it takes something like that to tell a lie like you to start at the end of his statement. ""it is simply not true that my administration or policies are holding back to mystic energy production."" oh, but it simply is true. it's demonstrably true and everyone knows it. on his first an office biden single handily killed the keystone xl pipeline. then just days before russia invaded ukraine, weirdly, biden administration shutdown all new energy leases and permits on federal land. that happened. vladimir putin did not do that, joe biden did it. watch biden's publicist try to explain that actually preventing domestic energy production, which they have done, is very different from holding back domestic energy production. here she is. >> let me give you the facts"
"298",298,"Tucker Carlson Tonight","March 9, 2022","","coming from the wire coming to the west at least because in terms of what the white house has stated and what western powers are saying, they have been very unclear of what that line is. and i'm glad that you brought up the point though about this hospital because there's there is at least some debate and i think there's something to that putin may be trying to goad us into raising the stakes ,if you will, in terms of getting us to to attack him because he's playing to his domestic audience significantly to this point, most of the statements that are coming out, the kremlin are mostly geared towards the russian people. only rarely are they actually geared towards the international community. so it's quite possible that he is trying to get the west to attack them so that so that he can play to his domestic audience since he said for years that the west is entirely against us , the west is out to get us and this is quite possibly an issue where he's trying to goad us ."
"299",299,"Tucker Carlson Tonight","March 17, 2022","","that the russian ground forces are essentially stole. the ukrainians also being told that peace talks are inching along. that's what it being told. what they're feeling and seeing is continued suffering and continued death under the russian russian bombardment . take a look at these pictures from kyiv which continues to be hit by russian forces. you can see the flames there erupting from an apartment building that was hit. it continues elsewhere as well in mariupol. we have talked about the shelling there yesterday of the theater of just getting more news on this. just come back to us for a second. getting more news right now on the attack here in veve today our producer andrew phoned me information here that there's been a strike north east of the city. northeast of this is northeast of lviv, northeast of the city"
"303",303,"Tucker Carlson Tonight","May 2, 2022","","to ukraine. and so they are not going to have to pay the price, but the kids of all the folks watching this tonight, they are going to pay the price. so i think fundamentally there is a disconnect between the people who pay with their blood and treasure the people who are making the decisions to send us off to war. >> tucker: i don't understand how you can simultaneously argue that putin is nuclear armed, crazy, bloodthirsty, demented, on predicable, ruthless, and then at the same time poke him in the face with a stick and hope for the best. i mean, which of these is true? >> it's a lot of chuckle. of course it's illogical. something i talk a lot about my podcast, you talk a lot about on your show. we are losing logic because of logical and reasonable people not part of the conversations. there's ulterior motives here. and i think fundamentally we have to stop and ask ourselves, can we afford this. because when we talk about 13 billion or $33 billion, that's money that we don't have, that's deficit spending, so we're just printing money and then we are issuing debt, which"
"317",317,"Tucker Carlson Tonight","March 30, 2022","","a durable indoor outdoor so you can wear my slippers any time anywhere. i personally guarantee you to be the most comfortable slippers you'll ever own. so go to mypillow .com now and use a promo code on your screen or call the one 800 number below to get my slippers for 50% off the lowest price in history. and if you do it right now, i'm going to include a free gift with your purchase. >> thank you and god bless. and we will get to the bottom of the broken just dashed hope and more bloodshed. ukrainian forces gear up for new russian attack, especially in the eastern region of the country where moscow is now building up its forces all is coming just one day after talks between russia and ukraine delivered a hint of progress toward peace. however, what i'm trace"
"358",358,"Tucker Carlson Tonight","February 17, 2022","","that? you can go to slgelato.com. like i said, jesse watters prime time is going to be buying a lot of pistachio. ""tucker carlson tonight"" is up next. things were watching ""jesse watters prime time"" remember. i'm watters and this is my world. ♪ ♪ >> tucker: good evening and welcome to ""tucker carlson tonight."" so much drama. you can't say we are not learning a lot though. one topically learned a lot about over the last year is russia. the reason we learned about it is because russia is joe biden's number one favorite topic of conversation. joe biden could talk about russia forever, meaning in his case for up to 4 minutes at a time. which at this stage is joe biden's version of a filibuster. you may have asked yourself one"
"363",363,"Tucker Carlson Tonight","March 21, 2022","","buried under tons of rubble and it's still unclear mariupol is on the verge of being taken. what we do is that thousands of innocent civilians have been killed. many of them now being buried in mass graves. hello. good evening. i'm with jenkins in washington and i'm jonathan honda on the ground in the veev ukraine bringing continued live coverage of the crisis in eastern europe. it's 7:00 in the morning here in the east. ukrainians are about to enter the fourth week of that battle for independence and this day brings yet new shocking images of the extent of vladimir putin's campaign of terror. nowhere is that more evident than in mariupol where bombs are said to be falling every 10 minutes. but death and destruction are also visible across this sovereign nation homes, shelters, schools, shopping malls and hospitals. it's clear all are fair game in russia's ruthless war . president zelinski vowing these"
"364",364,"Tucker Carlson Tonight","March 21, 2022","","your room and delivery came a laundry. we can do that one or two. our captain, mr. we have to go whatever you want to do it, be ready with relief. okay, make it simple and convenient to take care of it. so when the moments you're ready, román ready is crazy. you know with on deck we could get a small business going fast and order more equipment today or loan fulgoni there's a better way to get a fast small business loan on deck the online lender that makes it easy to choose your loan and if approved get funds as soon as the same day your loan is on deck. when it comes to real estate agents experience matters."
"378",378,"Tucker Carlson Tonight","April 7, 2022","","evidence of horrific human rights violations by russian soldiers in ukraine. white house correspondent kevin corke has that story tonight . good evening. kevin griff, always good to be with you, my friend. russia, as you point out, has been suspended from the un human rights council. that resolution passing today ninety three twenty four with fifty eight abstentions. interestingly, some of the countries that voted against booting russia from the hrc belarus, china, iran, russia itself and syria i think this is also interesting as well. india actually abstained from the vote. now earlier this week, america's u.n. ambassador linda thomas greenfield introduced that proposal in the wake of accusations that russian troops tortured and killed ukrainian civilians in buka, a suburb near kyiv. >> we've seen credible reports of landmines and traps left behind by putin's forces to injure even more civilians after russia failed in its"
"415",415,"Tucker Carlson Tonight","April 5, 2022","","unit. it's a deliberate campaign to kill the torture to to commit atrocities. but there still hesitating to use the word for now with respect to specifically, that is a formal legal determination. it takes a great deal of evidence. a former obama era defense secretary thinks it's only a matter of time before they do what he says is important. he's already said these are war crimes,. i think as most people know, there's a technicality to is a or not. i suspect president biden will say that he didn't want to say anything on the topic today or what i one and he did as part of a new push to expand obamacare ahead of the midterms . the stage in the east room was worthy of a double take. we just had lunch together and we weren't sure who is"
"421",421,"Tucker Carlson Tonight","October 5, 2022","","it was clearly taking a toll on dad. so we call a place for mom. our advisor really understood our needs guiding through the process to find the best memory care community close to home. mom is now in the perfect place and dad and i can now go back to being her loving husband and daughter again. instead of her caregivers. >> our service comes at no cost. to your family. >> connect with us today. >> good evening and welcome to tucker carlson. e artonight, there are few thins more infuriating than being lied to by your own government.i the government you pay for, the one your ancestors risked their lives to protect. >> does that happen to you? of course it has enrages you, ia if course it has enrages you, ia of enough, if your government makes a habit of lying t theo y' then over time it becomesreally something else. over time, you realize you're not reallying living inracy"
"422",422,"Tucker Carlson Tonight","October 5, 2022","","the anchors clearly gettingop h instruction to stop and stop. >> what evidence d u have? whaence d well, there's radar evidence required. shut up. just cut them off. never invite them back . stop. the only explanation allowed, of course, is the one the e government wants you to believe. >> vladimir putin is ss o evil, he's destroying his own pipelines. >> aaron mutty is an actual journalist who does not work at ""the washington post"". he works at the gray zone. >> we are honored to have himst join us tonight. aaron, thanks so much for coming. jeffrey, sachs. it's like they're lik eight traditional liberals left. and i gues they don't knowlook, the rules. >> si kno i'm just wondering, lo i don't know the answer, buted i also know that no member of congress knows the answer either. i verified t that. hat everybod so why is it that everybody is demanding you believe something that's just not very plausible? >> pla it's pretty amazing whena consider the track record of the people who are telling us that russia did this.whtold"
"425",425,"Tucker Carlson Tonight","April 7, 2022","","calling them ""precise work."" so that happen, it's awful. does the fact that it is awful justify russia's invasion to ukraine? of course it doesn't. the russian invasion in ukraine was wrong and the results have been a tragedy for everyone around the world. but at the same time since our leaders have insisted on placing this country, the united states in the middle of that faraway war for for reasons they still have not explained, we, american citizens, who supposedly run our government have a right to ask where our money is going and what is being done in our name. but that's the last thing anyone who covered the white house plans to deal. instead, here's what they are doing. watch. >> so given these awful videos and pictures we are seeing of the atrocities that took place right now, is the u.s. policy still one of no regime change in russia? and if so, why should someone like vladimir putin be viewed by the u.s. as something to stay back at? >> i think that our policy is no, we are not calling for"
"446",446,"Tucker Carlson Tonight","March 25, 2022","","so they're going to look to the east. that would be a big resetting of russia's strategic goals. it may well come because russian forces have been struggling on several fronts in the areas around key, for instance, they have been pushed back quite significantly in some places by ukrainian forces. and president zelenskyy says that the pressure by ukrainian forces will be kept up. listen here. we cannot stop even for a minute because each minute is about our fate, our future, about the fact whether we'll live 30 day a month has passed. if russia had known what expected them here, they would definitely be afraid of coming here now in the meantime, we're getting more evidence of potential war crimes. this is footage from inside that theater in the southern city of mariupol that was clearly marked as a shelter clearly marked as containing children and yet the russians"
"451",451,"Tucker Carlson Tonight","March 16, 2022","","this motions every everything became calm again. of course, lots of people they started to ask themselves some questions you don't usually ask yourself are you afraid to die? are you able circular person? are you able to go fight for your country? of course to start as like tricyclics questions more often . but first tillicum are just trying to find answers. i mean it's amazing people get to look within themselves and it's amazing sometimes what you find in what you don't find. i know that there are some places that are still safe in kyiv but it has been bombed mercilessly now for weeks. and i'm wondering you used to get two to three hundred people a night. is that about the number you're getting now? sosha about two or three hundred people per night and do you have the supplies and the food, the water you need at this point in time? so no, we don't have two or"
"468",468,"Tucker Carlson Tonight","August 29, 2022","","""i remember communist times."" france had so much energy that they were a net exporter of energy. 70% -- will go under, why? because -- happens across europe in every country. the question is why is it happening, and the answer is there is an energy shortage in europe. cheap energy is essential, the key to everything a normal society strive four: safety, sprouts -- safety, prosperity, the high life expectancy for its citizenry. energy costs in europe are expected to increase by hundreds of percents in coming months."
"474",474,"Tucker Carlson Tonight","March 23, 2022","","that smaller is not a surprise either. let me ask you one other question about the strategy from what i can tell, yes, they are doing much of their destruction by way of air. is that to suggest that because there is facing so much more resistance on the ground, that's a safer, more productive way for them to sort of gain control of some of the pockets after? most certainly. and when you start dealing with urban combat, which is the most difficult type of combat you can imagine, you're either going to have to go into the cities and clear it room by room and street by street, which adds days and weeks and large numbers of casualties or if you're someone like putin who's willing to use your artillery and air forces in the different assets that you have to level cities in lieu of doing that , i could certainly see and continuing that process. and mariupol is right now a pretty good example of exactly. colonel darran joining us ."
"495",495,"Tucker Carlson Tonight","April 8, 2022","","the station was filled with thousands of people best to -- desperate to make it out of eastern ukraine. hello, everyone, i am trace jenkins -- i griff jenkins. and i'm kevin corke in washington with our continued coverage. the battle and a 45, if you can believe it. the white house also reacting t the horrific scenes out of ukraine saying the us is investigating. >> this is yet another horrific atrocity committed by russia striking civilians trying to evacuate and reach safety. where we are now is investigating this task as we document russia's investigations . more on that as we begin our breaking conference with griff jenkins, who joins us live from lviv. >> good morning, kevin. let's start with that devastating missile stripe hitting a crowded railway"
"501",501,"Tucker Carlson Tonight","April 7, 2022","","the suggestion was that putin would stage a mass killing and then accuse the ukrainian of doing it. so the pentagon warned americans to expect, quote, very graphic propaganda, including footage of corpses and actors that would be depicting mourners and images of destroyed locations as us military equipment in the hands of ukraine or the west, end quote. it was a pretty complex story, but the media accepted all w of at face value and then repeated it uncritically. one ofho the very few who dared to ask questions all aboutut where the story came from was an associated press reporterm called matt lee and are asking that question. the state department's flack all but accused him of working for vladimir putin. soso that's what happens when yu ask uncomfortable questions. the media caught on quickly and stopped asking them. but for weeks w the administration continued to release more of what it calledis declassified intelligence about russia's plans a. officials said that putin was w about to use chemical weapons in ukraine. joe biden himself repeated that story and that's why biden"
"509",509,"Tucker Carlson Tonight","March 1, 2022","",">> jesse: and we are very inspired by your president. and we aring it going to continue to send those weapons and gets them to you any way possible thank you very much. >> thank you so much. >> jesse: that's all for us tonight. tucker carlson is up next. and we will have live coverage at 8:55 of the state of the union. ♪ ♪ ♪ >> tucker: good evening and welcome to tucker carlson. joe biden begins his annual state of the union address. imagine if he dared to be honest. what would he say? what is the state of our union. it is fragile, very fragile. the united states is poor. it is more free phobic it is far less free than it was when president biden took over. joe biden inherited a very divided country and proceeded to"
"534",534,"Tucker Carlson Tonight","February 25, 2022","","sanctions, the greatest, most deterrent sanctions ever, were never intended really to deter anything. sorry if you took us seriously the first time, we didn't really mean it. >> no one expected the sanctions to prevent anything from happening. it's going to take time, and we have to show resolve, so he knows what's coming, and so the people of russia know what he has brought on them, that is what this is all about. >> tucker: who gives him these scripts? do they not think we have access to youtube? or maybe they are hoping google will scrub it. by the time he holds another press conference. you just told us on monday that the purpose of the sanctions was to deter the invasion of ukraine, so at the very least, acknowledge they didn't work as intended. they can never acknowledge that. oh, the vaccine prevents transmission and infection. just tell the truth. people will understand. but they lie every time. now they're telling us putin knows what's coming, we will get him next time."
"539",539,"Tucker Carlson Tonight","September 27, 2022","","like that. i appreciate your coming on top tulsi gabbard, thank you. >> thank you. >> tucker: so you hate to hype hurricanes, but there is a legitimately large hurricane barreling toward the gulf coast of florida tonight, bigger than we've seen in the hundred years. the foremost hurricane predictor in the country joins us after the break. ♪ ♪ l ♪ ♪"
"556",556,"Tucker Carlson Tonight","October 13, 2022","","that perpetuates the cycle of terrorism. few people notice this because for a self-described is progressive it didn't seem so surprising. and when she beat carly in the primary the statement was still on her website. but then it disappeared. a journalist named samir khan noticed it. what happened to the antiwar part? but by now she had morphed into alexandria boccaccio cortez. who knows what happened to it? there might be more to the story, she asked at the time. how long will we be moaning about single payer when this bipartisan support for nuclear armageddon benchmark that ended up being a pretty good question, not even a rhetorical question anymore. deslike biden said, nuclear"
"576",576,"Tucker Carlson Tonight","September 30, 2022","","before we march to a drum beat directly into global nuclear war are entitled to answers. you know who else is entitled to answers? climate activists. you'd think they'd take notice. you'd think they'd ask questions. why? because the nord stream two leak caused more than three hundred thousand metric tons of methane to enter the atmosphere. it sounds like a lot, right? here's how much, according to bloomberg, that's roughly, quote, the same climate impact over a 20 year period as the annual emissions from about five point four eight million us cars. but our leaders, even our green energy czar, they're hoping we ignore all of this. and if that's the plan, it just might work because there's so much going on . it's hard to keep track in what amounted to a crazy day that literally flew under the radar, flew under the weather radar and the news cycle. russia attempted to annex parts of ukraine and then in turn, the u.s. announced"
"584",584,"Tucker Carlson Tonight","March 18, 2022","","yes no side effects, no more serious infection events earlier in the year kind and ask your neurologist about your work all eight hundred seventy five to eleven hundred today we're talking about bird. they're not your typical eye care company. i'm not your typical penguin. we're a team. there's no i and i care. wait can you pair of glasses but the free eye exam anti-coagulant if you think they sort for only $79 and these days good those days on fox and watching fox now and hulu up until none of"
"586",586,"Tucker Carlson Tonight","January 20, 2022","","attention to china. worse and more dangerous than that, more dangerous than anything: it drives the russians into an alliance of convenience and necessity with the chinese government. here, you have our two biggest rebelses united, against our currency as well. when united states dollar is replaced as the world reserve currency, this country will become poor overnight. this will be one of the reasons why. it's hard to imagine anything more significant, more destructive than what these people are doing right now. it's not just about ukraine. it's about our future. doug mcgregor is a retired army colonel, joins us tonight. it seems like an awful lot is at stake here, dog, and i don't hear anybody making the most obvious points, like ""why are we driving russia into the arms of an alliance with china?"" don't they see it's?"
"587",587,"Tucker Carlson Tonight","February 15, 2022","","it happened the way it always happens. maximum aggression and limited popular support. justin trudeau won re-election last year with less than a third of the national vote. in fact, he finished the election behind his main competitor, thanks to quirks in the parliamentary system trudeau took power anyway and immediately began to crack down on anyone who opposed him. trudeau had relatively few supporters but they turned out to be the right supporters. they were the people with power. the woman, for example, you just saw announcing the crackdown on cryptocurrency is canada's prime minister but before that, she used to write for the washington post. she's married to a ""new york times"" reporter. why is that relevant? because you see the starring role media organizations have played in the death of canadian democracy. the other day, for example, somebody happened the data base of the crowd funding web site give-fund-go and then revealed the names of people who donated to the truckers protesting in"
"608",608,"Tucker Carlson Tonight","March 4, 2022","","congress is considering a $10 billion emergency fund for the country. continuing the coverage and breaking news was with coach to our chief correspondent standing by live in lviv. when president zelenskyy talk to the group of us senators is likely to repeat the call for the us and the rest of the world to do much more. the fighting is continuing on several fronts right now. in particular in the south. it is surrounded by russian troops taking heavy bombardment. window the russians have control of this and the russian"
"622",622,"Tucker Carlson Tonight","May 16, 2022","","you, that is what they wanted to tell you for a long time, but saturday's massacre gives the pretax and justification. you have to ask yourself, who behaves like that? what sort of person uses mass murder as an excuse to give a campaign speech or sees more political power? we will find out tomorrow when joe biden traveled to the scene of this atrocity and buffalo to speak to the country. even seen an advance copy of his remarks, but you can guess. it appears to be the lowest ever, lower than donald trump's prayer that is a disaster for his party. they will suffer for this in the election. biden still is time to change course and fix it. he could try to improve the lives of voters who are dissatisfied with them. that is what politicians typically do and they are down. they listen to the people who might reelect them. biden doesn't plan to do that, and we know for a fact because politico has reported it."
"631",631,"Tucker Carlson Tonight","February 11, 2022","","learning, character, faith, and freedom: these are the inseparable purposes of hillsdale college."
