"","X","Name","Date","Source","Text"
"263",263,"Anderson Cooper 360","April 27, 2022","Comcast Cable",">> there are lives here that you can see russia has changed forever but also those whose traumas sit beneath the surface lives on. >> nick is joining us now. it is a horrible story, i know you reached out the military defense about this is allegation, what did they say? >> reporter: they have not responded. in the past, they suggested such claims are patterns trying to paint russian force in a bad light. the systematic nature of so many of the claims we have been hearing are similar to suggest that, the conversations we had with ukrainian officers, of victims' testimonies have"
"296",296,"Anderson Cooper 360","March 2, 2022","Comcast Cable","zelenskyy releasing a message from there saying more and more occupiers fleeing back to russia, from you, for all that drive out the enemy with javelins and helicopters, everything that shoots. i wish you help, ukrainians, strong and kind but not to the enemy. what has become now daily post from the ukrainian president who is standing so firmly. thanks for joining us. ""ac 360"" starts right now.   day eight of russia's war in ukraine, it's about to dawn on a country that has already been severely tested. the latest a few moments ago with two new large explosions heard in kyiv. so it begins again. tonight. yet no matter what russia drops on them or tries to take from them, ukrainians simply refuse to give an inch. that does not go -- that goes not just for men and women in it uniform, but also for ordinary people doing the extraordinary."
"297",297,"Anderson Cooper 360","March 2, 2022","Comcast Cable","so the spirit of people is not going down. it's going more up and up because we see in the news all this brave cases when people just stop with a tractor which they are own hands. and there were thousands of people that just stand in the road and meet the russian troops. and there is a sense of humor to help ukrainians to be strong. so the spirit is up. and today i saw that almost 90% of the ukrainians are sure that they will win. putin thought if he would bomb the second biggest town of ukraine like destroy it completely and the other towns he would damage a lot. maybe people would be afraid and surrender. but what he did, people feel like now we have nothing to"
"311",311,"Anderson Cooper 360","February 28, 2022","Comcast Cable",">> announcer: this is cnn breaking news.   welcome to our viewers joining us in the united states and all around the world. i'm michael holmes coming to you live from lviv in ukraine as this country faces day six of a russian invasion.   and a massive russian convoy bearing down on the ukrainian capital, kyiv. satellite imagery showing it stretches for more than 40 miles, or 65 kilometers, and includes tanks and artillery. russian troops have breached the kyiv suburbs before and met fierce resistance."
"312",312,"Anderson Cooper 360","March 18, 2022","English","to that facility itself. again, they lose the fight on the ground and respond with this extraordinary level of blunt force often from long-range missiles. i think that's concerning, anderson, going forward. and if we are going to see russia essentially losing the fight for towns here, it chooses sort of scorched-earth policy of slamming those towns, military facilities, civilian facilities you can see there too in sam's report with extraordinary firepower. >> kaitlan, what did president biden say about his call with president xi? >> he said it went well. i ran into him in the halls of the west wing after he had spoken to chinese president xi jinping for about two hours today. that is the first time they talked since russia started conducting this invasion. it is the first time they talked really in four months so obviously there was a lot to discuss. but really, what officials said they wanted to get to the heart of was president biden wanted to find out if president xi plans to follow through and grant this request that russia has made for"
"319",319,"Anderson Cooper 360","April 11, 2022","Comcast Cable","devastation right here is the crater from where a bomb was dropped just two days ago. north of here about 25 miles away is inside russia. that's where the russian positions are shelling. that's where they're throwing devastation and death into places like this in kharkiv into civilian areas. most of the people who have been able to evacuate have already left the city. those that remain have told us it's because they believe that nowhere in ukraine is safe. they wouldn't speak on camera because they're worried what will happen when and if the russians finally arrive, and that is what u.s. and ukrainian intelligence officials believe is about to happen. they believe that russian troops are amassing. that was just a mortar strike as we were talking. it's about the third or fourth that we've heard. it's coming from that direction over there. we're continuing to hear"
"329",329,"Anderson Cooper 360","March 6, 2022","Comcast Cable","weekend including at a check point for evacuating civilians in the suburb where the mayor says a family, two parents and two children were killed. four other people died in other strikes across the district the mayor said. just over 50 miles from kyiv nearly 20 residential buildings rocked by russian fire. it's not clear how many were killed or hurt. >> russian plagues continue to bomb ukrainian civilians including women and children. it's a disaster here. >> reporter: in the village, just south of the capital, russian air strikes killed a number of civilians including a disabled 12-year-old girl, her father said -- >> [speaking foreign language]."
"332",332,"Anderson Cooper 360","April 28, 2022","Comcast Cable","ukraine foreign minister says the attack happened with un secretary general still in the capitol. earlier in the day the secretary general visited bucha and -- both sites of widespread atrocities during the russian occupation. tonight ukraine president zelenskyy said investigators have already identified ten russian servicemen as suspects in connection with with killings in bucha. president zelenskyy said their names are known and about to find them and anyone else responsible for atrocities in the invasion. the war goes on. american defense officials say russian and/or those forces made some progress in the east and signs they are getting somewhat better at certain operational and logistics scales. western officials familiar with the latest intelligence say it's not clear moscow will be able to implement changes needed to dominate there. they are however trying to impose whatever political and economic control they can in places that they do occupy. a newly installed russia friendly official said they will use the ruble as the official"
"376",376,"Anderson Cooper 360","February 24, 2022","Comcast Cable","calm. the only places we saw groups of people were atm lines, every single atm. some ran out of money although we did see some still had money early this evening. then there were gas lines. this one was outside the city. we did see a few stations ran out, but the lines were incredibly calm. i spoke to some people and one woman told me as her voice broke she had a plan to leave for poland when the unimaginable happened, but when it did she decided to stay. there's so much we don't know tonight, but we do know the people we have met here over the past cup of weeks have all had an incredible reservoir of strength. thank you for joining us. ac 360 starts now.   good evening. ukraine tonight bracing for what the coming hours might bring. already it's seen russian forces attack on three fronts with concerns now growing what an"
"390",390,"Anderson Cooper 360","March 17, 2022","Comcast Cable",""
"391",391,"Anderson Cooper 360","March 17, 2022","Comcast Cable","earlier i spoke with samantha power, current head of the u.s. agency for international development. she talked about the extreme difficulty of getting refugees out, and that if you live in one of the besieged areas, it's excruciating. little food, water, or medicine. even, she said, reports of dehydration deaths, which we've heard about in the city of mariupol. miguel marquez met some of the fortunate ukrainians who were able to escape and are now experiencing life in a romanian city who opened their arms to them. >> reporter: who are all these people? friends, fellow citizens, and colleagues, she says, family too, all from donbas in,"
"399",399,"Anderson Cooper 360","September 26, 2022","Comcast Cable","so it's significant to say the least. >> yeah, ten feet of water right on top of where people live. which could be lethal. tom, thank you so much for that. we're going to watch this storm throughout the hour. we'll bring you a live report from cuba that tom just mentioned later.   now we have multiple new developments with less than two days to go until wednesday's house january 6th committee hearing. there are the text messages obtained by cnn connecting then white house chief of staff mark meadows with a key player in the scheme to seize voting machines. there is also new footage in the former president's long time alloy roger stone, a day before the 2020 election saying, ""f the voting. let's get right to the violence."" cnn's sarah murray has more on both stories and joins us now. so, sarah, let's start with this documentary footage of roger stone. >> he said this is a day before the 2020 election. roger stone is, of course, a long time key ally of the former president. he pretty much makes it clear in this footage, you know, shot by documentary filmmakers, he"
"421",421,"Anderson Cooper 360","March 29, 2022","Comcast Cable","and so it seems that that is what they're trying to say in russia, that from certain areas they will whatever you want to call it, and redirect to eastern ukraine, which they have talked about. that's what they say they want, which obviously is where they already occupy at least parts of it, and presumably they want it connected with the south which is why they're bombing the heck out of mariupol, 160,000 people still there, so many people under so much stress, and without any kind of humanitarian aid. so we wait to see. there have been some positive signals. there's no doubt that what happened in istanbul is potentially the most positive, at least by both sides' account, since these talks began. >> for weeks though, we have been hearing occasional positive statements from president zelenskyy about there may be some movement in talks. how realistic do you think these talks are between russia and ukraine? because there are certainly major challenges still to work out. >> there are huge challenges,"
"493",493,"Anderson Cooper 360","March 18, 2022","Comcast Cable","person's estimate. it is not a fact. this is only part of a picture that includes a number of notable injuries though at a cost of russian forces on the ground and significant russian casualties. for more on this, i'm joined by cnn's fred politen. >> i think one of the interesting things we're seeing on this evening is that it's happening in several locations. first and foremost, the ukrainians are telling kyiv, for instance, they believe they've halted the russians there, pushing them back in certain areas chls also mykolaiv they believe they're making headway also. also in places in the north like kharkiv where they were having a lot of trouble, the ukrainians think they're making significant headway and causing damage to the russians. >> reporter: another blow to vladimir putin's military. ukrainian forces claiming they ambushed this convoy of russian"
"515",515,"Anderson Cooper 360","May 9, 2022","Comcast Cable","your mission: stand up to moderate to severe rheumatoid arthritis. and take. it. on... ...with rinvoq. rinvoq a once-daily pill can dramatically improve symptoms... rinvoq helps tame pain, stiffness, swelling. and for some...rinvoq can even significantly reduce ra fatigue. that's rinvoq relief. with ra, your overactive immune system attacks your joints. rinvoq regulates it to help stop the attack. rinvoq can lower your ability to fight infections, including tb. serious infections and blood clots, some fatal; cancers, including lymphoma and skin cancer; death, heart attack, stroke, and tears in the stomach or intestines occurred. people 50 and older with at least one heart disease risk factor have higher risks. don't take if allergic to rinvoq as serious reactions can occur."
"527",527,"Anderson Cooper 360","March 13, 2022","Comcast Cable","dire over a week ago. it's only gotten worse every day since. at this point, we were saying it was going to be a disaster. the disaster is now unfolding in front of us. we already know from our staff we've communicated with that vulnerable groups such as people with chronic conditions who needed access to medical care have already started to die. we know that there have been numerous deaths due to the violence and bombing in the city. our staff has also informed us they've seen neighbors digging holes in their own backyards to bury bodies of their neighbors. this is an absolute nightmare. and we know that water and food are running out, or for many of the population, have already run out for several days. so we will now start seeing people dying of hunger and dehydration if something isn't done immediately. >> i know president zelenskyy had said a child days ago had"
"553",553,"Anderson Cooper 360","September 23, 2022","Comcast Cable","good evening. we begin tonight with a large part of florida under a state of emergency. the storm system that does not even have a name yet but is heading straight at florida and could be a major hurricane if and when it arrives. jennifer gray is tracking this storm at the moment known only as tropical depression 9. she joins us. when, jennifer, can florida expect to start to feel the effects of this? >> well, they'll start to feel the impact as early as monday night into tuesday if you're in the keys, but then it's going to basically parallel the coast"
"554",554,"Anderson Cooper 360","September 23, 2022","Comcast Cable","some of the most important cases on the court, abortion, guns, the power of the epa to regulate the climate. you were on the losing side. was that frustrating for you to lose important case after important case? >> yes. >> how frustrating? >> very frustrating. >> when the court undoes a right that people have lived with for half a century doesn't that very much shake the authority of the court? >> did i like the lou daubs decision, of course i didn't. was i happy about it? not for an instant. did i do what i could to persuade people, of course. of course. but there we are, and now we go on and we work to get daub on. it's a little corny what i think but i do think it."
"616",616,"Anderson Cooper 360","February 23, 2022","Comcast Cable","three airports. as we mention cyber attacks are already under way. culprits not officially known yet. key ukrainian government websites are now down. and the ukrainian defense ministry is reporting dozens more cease-fire in the break away regions with russian leaders saying the leaders of the two russian backed so-called republics are asking moskow for military assistance against what they describe as ukrainian aggression. with all that and more unfolding we learned a few moments ago the u.n. security council is going to hold an emergency meeting scheduled for 9:30 eastern time tonight. that's about an hour and a half from now. we're bringing all of it to you. kaitlan collins at the white house, cnn's jim sciutto in ukraine. kaitlan, let's start with you. what is the white house saying about the apparent change in tone from ukrainian president zelenskyy? >> they're watching it very closely because of course this is a white house that has often had to balance ukrainian"
"620",620,"Anderson Cooper 360","April 20, 2022","","bargain but continued shelling and ignored the cease-fire. so that opportunity to get civilians out of there was not taken. we're also talking evacuation of soldiers at one point. i spoke to that gentleman in that piece and said would soldiers ever give up and surrender to the russians in that battalion we spoke about, and he said, no. he said because they firmly believe the russians hate them so much if they were to surrender, anderson, they'd be summarily executed by the russians. he said for those soldiers there's two ways out of mariupol. either they get evacuated safely by a third paerty country or di there fighting. >> i'm wondering what things like for russian troops now because a lot of them have moved from positions far in the north. they've come down now to fight in the east. you know, are there supply lines open? do we know much about things for"
"626",626,"Anderson Cooper 360","March 17, 2022","Comcast Cable","cannabis oil in her luggage. she has been denied access to her legal team. nobody knows exactly where she is. no one's been in contact with her. this continues for months on end. thanks so much for joining us. ac 360 starts now.   it is hard to say good evening from ukraine even on the best of nights, and harder still given what we have seen cities and towns across ukraine today. we're going to get in the two hours ahead to all of the latest developments in kyiv, kharkiv, mariupol. we're going to talk with our reporters, our analysts, those living through this horror, but before all of that. we don't know his name or the name of his mom whom he's"
"664",664,"Anderson Cooper 360","March 13, 2022","Comcast Cable","good evening from lviv in western ukraine. signs russia continues to expand the scope of the battle field hear in the west. nearly to the border of a nato country and is also looking east to china for support in fighting the war. a consequential night. a much shorter drive from nato ally poland. at least 35 people were killed in the strike. late tonight ukraine's president reiterating his call for they to -- nato to set up a no fly zone"
"717",717,"Anderson Cooper 360","March 8, 2022","Comcast Cable","civilians have been shelled and killed on what they thought were safe corridors. >> and is that something -- are there further talks scheduled? >> reporter: there are, yes. so we are seeing this succession of, you know, i think relatively hopeful developments. on thursday, for instance, we've got the highest level meeting that we've had since the beginning of this war and for some time before that, in fact, between the russian and ukrainian foreign ministers, and that's taking place in turkey, and the fact that's taking place at all is a really, really positive sign. the russians have said, look, we want to make sure that ukraine is neutral. we want to make sure that the territory of crimea and those"
"718",718,"Anderson Cooper 360","March 8, 2022","Comcast Cable","was an actor and comedian. in april, 2019, zelenskyy was elected ukraine's president. now the country's future may depend not on his comedy but his courage. >> we will fight till the end at sea, in the air. we will continue fighting for our land whatever the cost. >> reporter: randi kaye, cnn. >> we'll be right back. so we made a a plan to turn bath time into a business. ♪ ♪ find a northwestern mutual advisor at nm.com ♪(""i've been everywhere"" by johnny cash) ♪ ♪i've traveled every road in this here land!♪ ♪i've been everywhere, man.♪ ♪i've been everywhere, man.♪ ♪of travel i've had my share, man.♪"
"724",724,"Anderson Cooper 360","March 7, 2022","Comcast Cable","shoulder. she's recruited women to pack boxes around the clock. >> nonstop, nonstop. >> reporter: everything is donated, medicine, toiletries, all kinds of food. you are looking for things that are easy to prepare for troops at the front or families. nothing stays here for long. the work is hard. the war is harder. angela's husband left for the front yesterday. >> my husband yesterday. >> reporter: he's a doctor, a veteran of the soviet war in afghanistan. >> does it help the work here to stay busy? >> translator: we are doing what we can. we keep on praying. people ask how you are not crying, but, you know, crying doesn't help. each person does what they can. >> reporter: angela is in the reserves as well, but for now she's taking care of her family and volunteering. thank you for your strength."
"727",727,"Anderson Cooper 360","April 5, 2022","Comcast Cable","are still unexploded ordnance laying around. when we're out there we frequently see live tank shells, rpg rounds and tank ammunition laying around. you really have to watch out where you step and civilians go into that area and that's quite dangerous. however, the booby traps are also a problem and something they have to deal with as well. in fact, we were in one compound where they discovered a couple of dead bodies and they specifically warned us that there were areas that could well be booby trapped and they believed they were booby trapped so they have to go very carefully right now to try and find out which areas are safe and make those areas safe and to do that there's a curfew that's in place until april 7th for those areas to make sure that people who live there can go back, but not anybody on top of that, anderson. >> i understand you have new information about the hospitals that have been targeted. >> this is really disturbing. the united nations says that"
"728",728,"Anderson Cooper 360","April 5, 2022","Comcast Cable","aid organization access to that besieged city. people are managing to get out of there. again, the ukrainian government estimates that there are more than 100,000 civilians trapped there. the russians do seem to be allowing people to leave in their own private vehicles to other russian-occupied cities and then there are some convoys that are able to take some of these evacuees out back to ukrainian-controlled territory, but for whatever the reason, the russians are not allowing the red cross into mariupol, and given what we've seen around what fred has seen around kyiv, maybe it's because they don't want them to see what is happening in mariupol. >> obviously, we've been covering all of the reports about what has been happening, reports of people having to be buried in backyards, mass graves and obviously to pick up bodies that have been left out unable to be buried privately. kaitlan, the new sanctions coming tomorrow, what do we know"
"751",751,"Anderson Cooper 360","March 22, 2022","Comcast Cable","this trip, the west will make clear it is united in their defense of democracy. his national security adviser says mr. biden will join with allies on imposing further sanctions on russia. >> for the past few months, the west has been united. the president is traveling to europe to ensure we stay united, to cement our collective resolve, to send a powerful message that we are prepared and committed to this for as long as it takes. >> well, mr. biden will also be traveling to poland at the end of the week, where he will meet with u.s. troops and hold a bilateral meeting with the polish president. now as the war in ukraine grinds on, we're almost a month in here. soldiers on both sides of the conflict are losing their lives. how ukraine is handling the rising number of war dead.   and we'll look at how two ukrainian families are coping"
"775",775,"Anderson Cooper 360","March 10, 2022","Comcast Cable","we have to report that the two were reunited. linsey posted this to her instagram account. you see three photo there is. on the left, oleksandr protecting linsey minutes before the attack, literally covering her with his body. at the top right, just moments before the attack, in that last photo is the reunion. linsey says he's got shrapnel in his leg and stones in his back. the doctor says in one month he'll be in good condition. as you can tell, ukrainians are not backing off this fight, far from it. some russian soldiers just miles from kyiv are being met with serious resistance. latest developments from ukraine next."
"813",813,"Anderson Cooper 360","April 26, 2022","Comcast Cable","that really takes care of both our teeth sensitivity as well as our gum issues. by brushing with sensodyne sensitivity & gum at home, it's giving you the relief that you need and the control that you need to take care of your oral health. and it creates a healthier environment. there's no question it's something that i would recommend. this is vuity™, the first and only fda approved eye-drop that improves age-related blurry near vision. wait, what? it sounded like you just said an eye drop that may help you see up close. i did. it's an innovative way to... so, wait. i don't always have to wear reading glasses? yeah! vuity™ helps you see up close. so, i can see up close with just my eyes? uh-huh. with one drop in each eye, once daily. in focus? yep. [laughs] like, really?"
"827",827,"Anderson Cooper 360","February 23, 2022","Comcast Cable","that's an air raid, an air raid siren. several of them going off here in the center of the ukrainian capital. now, whether that's them just testing it, i don't think so given the situation we currently find ourselves in, or whether ukrainian radar has picked up approaching aircraft or missile attack inside the center of the city, i don't know. but this adds another ominous, alarming feature to what has been an ominous and alarming day so far. now, in terms of the explosions we've been hearing, they've subsided for the past couple of minutes i would say. i don't know whether you can call a couple of minutes without explosions, you know, them subsiding. but you know, what is happening right now is unclear. but we are anticipating that this could be just start of something much bigger."
"899",899,"Anderson Cooper 360","March 3, 2022","Comcast Cable","contained from air. any moment, it may result in nuclear accident. many buildings are damaged and on fire. on one of six power units is in operation right now. our power units with nuclear fuel. >> now, the nuclear power plant -- this is in southeastern ukraine. it is the largest in europe. officials stressing that radiation levels have not been elevated at all throughout this. ukraine's president offering his condemnation of russia for the attack. >> translator: we contacted our partner. i talked to president biden. we have contacted president"
"904",904,"Anderson Cooper 360","March 3, 2022","Comcast Cable","schwab starter kit™. new investors can open an account t and get $50 to split across the topp five stocks in the s&p 500®. you can also unlock short t videos, stepep-by-step guides, and other easy-to-use tools designed for people jujust getting started. plus, investment professionals are on standby 24/7 if you ever have a question. it's the smarter way to start investing. ♪ thanks to realtor.com's home alerts we were able to see the newest homes on the market, super fast. so we could finally buy our first ""big boi house."" big boi house. big boi kitchen! big boi waterfl shower! g boi crawl space. big boi sold sn, big boi logo. realtor.com each their home. uff. we love stuff. and there's some really great stuff outhere. but i doubt that any of us will look back on our lives and think, ""i wish i'd bought an even thinner tv, found a lighter light beer, or had an even smarter smartphone."""
"920",920,"Anderson Cooper 360","April 4, 2022","Comcast Cable","president zelenskyy is warning the world tonight that the sheer number of images brutal images that we've seen out of bucha may be surpassed images from other towns recently liberated come to light. >> translator: there is already information that the number of victims of the occupiers may be even higher in some other liberated cities, in many villages of the liberated districts of the kyiv, chernihiv, and sumy regions, the occupiers did things that the locals had not seen even during the nazi occupation 80 years ago. the occupiers will definitely bear responsibility for this. >> we should know cnn cannot confirm his statement but will update the story the moment we have more information. as we reported earlier, his remarks came after ukraine's military said it now believes russia is focusing its efforts"
"944",944,"Anderson Cooper 360","April 15, 2022","Comcast Cable","my mental health was much better. my mind was in a good place. but my body was telling a different story. i felt all people saw were my uncontrolled movements. some mental health meds can cause tardive dyskinesia, or td, and it's unlikely to improve without treatment. ingrezza is a prescription medicine to treat adults with td movements in the face and body. it's the only treatment for td that's one pill, once-daily, with or without food. ingrezza 80 mg is proven to reduce td movements in 7 out of 10 people. people taking ingrezza can stay on their current dose"
"955",955,"Anderson Cooper 360","March 11, 2022","Comcast Cable","people. she said why are you asking us to be relocated. it's the russians that need to be relocated from ukraine. it's the russian troops that need to go away, not we ukrainian. they invaded our land, and they need to go back home. >> a mom with her three kids. the conversation with her shortly. a also reports across the region and the atlantic. cnn chief international correspondent clarissa ward is in kyiv tonight. and in washington cnn chief correspondent kaitlan collins. first, i want to give a quick overview of the developments we saw today from orrin leiberman. >> reporter: tonight russia increasing its attacks on the western part of the country, fire and smoke on-airfields near the polish border. it's a scene that played out in cities all across the country as russia unleashed a barrage of attacks in the early morning"
"956",956,"Anderson Cooper 360","March 11, 2022","Comcast Cable","as a small business owner, your bottom line is always top of mind. so start saving with comcast business mobile. flexible data plans mean you can get unlimited data or pay by the gig. all on the most reliable 5g network. with no line activation fees or term contracts. saving you up to $500 a year. so boost your bottom line by switching today. get the new samsung galaxy s22 series on comcast business mobile and for a limited time save up to $750 on a new samsung device with eligible trade-in."
"993",993,"Anderson Cooper 360","February 21, 2022","Comcast Cable","imagination, no lows too low, no lies too blatant, no red lines too red to cross. what we witness might seem surreal for the democratic world, but the way we will respond will define us for generations to come. now, the united kingdom has already announced it will impose new sanctions, and a top diplomat says they will be, quote, severe and far-reaching. the british prime minister, boris johnson, adding this. >> this is plainly in breach of international law. it's a violation of -- of -- flagrant violation of the sovereignty and integrity of the -- of ukraine. it is a repudiation of the minsk process and the minsk agreements. and uh, think it's a very ill omen and a very dark sign. >> all right. let's get some perspective from a former-u.s. ambassador to"
"994",994,"Anderson Cooper 360","February 21, 2022","Comcast Cable","to travel abroad and to return home. but this welcome back isn't without a few ground rules. travelers must show proof of having two doses of an approved vaccine and western australia remains closed until march the 3rd. unvaccinated people will still have to quarantine, but in the states of victoria and new south wales, they have recently slashed their isolation periods, from 14, to 7 days. >> it's been a party out here at sydney airport. everyone's celebrating. it's so great to have the international tourists back from right around the world. >> reporter: new zealand is also signaling a shift in its covid-19 measures. prime minister jacinda ardern said the nation will begin easing its vaccination mandates and other social-distancing rules after its past the peak of the omicron variant, which experts say could be in the next three-to-six weeks. >> we all want to go back to the"
"1038",1038,"Anderson Cooper 360","February 28, 2022","Comcast Cable",""
"1121",1121,"Anderson Cooper 360","April 25, 2022","Comcast Cable","aleksandra run back in. we find them treating the injured man on the side of the road. the back window has been blown out by the blasts. he has shrapnel injuries and head trauma. once they've stabilized him, they rush him to the hospital. vladimir asks about his pain. the man has been deafened by the blast. arriving at the hospital, they have done their part. it's up to others now to save them. i have to say i think you guys are like the bravest people i have ever met. back at base, we ask them why they continue to do this work. with all the danger it entails. it's normal. this is our work. of course it's scary, like for everyone, aleksandra says. today you were with us in the hottest place, in the oven, but"
"1148",1148,"Anderson Cooper 360","March 8, 2022","English","sunday, after a mortar, a russian mortar hit and killed a family of four people. today, we did see that traffic, if you like, that pedestrian traffic, people crossing that bridge on foot, starting to move again. but still, you could hear some artillery in the distance. there are a lot of people who are still trapped, and that is a picture that we're seeing across the country, anderson. the one convoy that was able to move out today was in the northern city of sumi, where again, there has been just horrendous bombardment, but other parts of the country, those humanitarian corridors were not able to be opened up in the same way, and people are continuing to wait in the dark, in the cold, under fire, to try to get out to safety. >> jim, here with me in lviv, ukrainian forces have obviously been putting up a determined fight. the advances continue by russia. there are continued calls for a"
"1163",1163,"Anderson Cooper 360","September 26, 2022","Comcast Cable","this by a judge. this was a lawsuit where they're trying to force state officials to hand over the voting equipment. again, so that they can go through this equipment and find some kind of evidence to back up these allegations of voter fraud that they were making. and meadows response, he says, pathetic. that's agency these text messages message. meadows sharing expressed ration and filled wondering is like works by this inability to try and get to these voting machines, john. >> all right, sara murray, thank you for your reporting on multiple fronts. some perspective now the medal story, from someone who once held this job -- he service white house chief of staff during the clinton administration. all about the feds are pretoria, and the obama white house. secretary very nice to see. someone had this job. what goes through your head when you see that mark meadows was communicating, at a minimum, communicating. perhaps indulging. and conspiracy theories about attempts to gain access to voting systems? >> well, it just adds to the"
